"","model","method","swfsc.id","age.pred","age.best","resid","dev","sq.err","best.age.bin","pred.age.bin","age.pred.ran.mode","lower","upper","hdi.range","crc.id","biopsy.id","date.biopsy","sex","age.confidence","age.min","age.max","age.class","pair.id","confidence.wt","sex.num","sn.location","sn.scale","sn.shape","age.range","age.var","dens.unif","wtd.unif","sn.age.offset","Collection_Method"
"34",21,"svm","z0091082",6.04730957900312,7,-0.95269042099688,0.95269042099688,0.907619038259213,0,0,7.73617195488166,2.72161130491156,12.9398588811655,10.2182475762539,"HIPc351","RWB2009Dec19.03",2009-12-18 22:00:00,"Female",3,4,14,"sub.adult",NA,0.55,1,5.12381275115448,3.96010370628894,3.06195244657465,10,6.66091872326683,0.1,0.045,5.12381275115842,"BIOPSY (PROJECTILE)"
"35",21,"svm","z0091085",16.1684047658084,19,-2.83159523419162,2.83159523419162,8.01793157029672,10,10,17.0547547892967,9.03121868984268,23.8300865278564,14.7988678380137,"HIPc101","RWB2009Dec19.06",2009-12-18 22:00:00,"Female",3,16,26,"adult.f.sm",1,0.55,1,17.1238127511576,3.96010370627473,3.0619524465661,10,6.66091872322389,0.1,0.045,17.1238127511632,"BIOPSY (PROJECTILE)"
"36",21,"svm","z0091275",0,3,-3,3,9,0,0,0.491299281154337,0,6.83214749920116,6.83214749920116,"HIPc369","RWB2009Dec10.02",2009-12-09 22:00:00,"Male",3,1,6,"juvenile",NA,0.55,2,2.0433771365243,1.7652465890049,1.74419235146611,5,1.62309109480602,0.2,0.09,2.04337713653881,"BIOPSY (PROJECTILE)"
"37",21,"svm","z0091276",39.9848796382327,10,29.9848796382327,29.9848796382327,899.093006919301,10,25,38.8502087631231,30.5982627809593,47.774363066185,17.1761002852257,"HIPc365","RWB2009Dec10.03",2009-12-09 22:00:00,"Female",2,6,52,"adult.f.sm",NA,0.2,1,5.98072707707777,20.5320768405169,12.7618194495905,46,154.826619399272,0.0217391304347826,0.0173913043478261,5.98072707705942,"TAGGING"
"38",21,"svm","z0091277",4.65304190289012,3,1.65304190289012,1.65304190289012,2.73254753271058,0,0,4.53931055732544,0,9.5653639093896,9.5653639093896,"HIPc367","RWB2009Dec10.04",2009-12-09 22:00:00,"Female",4,1,5,"juvenile",NA,0.75,1,2.94299292677584,1.02201195387085,0.0700466233275959,4,1.04126174391813,0.25,0.0625,2.94305839450089,"BIOPSY (PROJECTILE)"
"39",21,"svm","z0091284",1.53112332676927,3,-1.46887667323073,1.46887667323073,2.15759868116139,0,0,0.530902643633114,0,5.44026658170639,5.44026658170639,"HIPc352","RWB2009Dec18.03",2009-12-17 22:00:00,"Male",4,1,5,"juvenile",NA,0.75,2,2.94299292677584,1.02201195387085,0.0700466233275959,4,1.04126174391813,0.25,0.0625,2.94305839450089,"BIOPSY (PROJECTILE)"
"40",21,"svm","z0091285",6.41303034816451,5,1.41303034816451,1.41303034816451,1.99665476483392,0,0,6.98024691646176,0,12.8042234918973,12.8042234918973,"HIPc320","RWB2009Dec18.04",2009-12-17 22:00:00,"Male",5,3,7,"juvenile",13,1,2,4.89396854897238,1.0258437637554,0.130514121710472,4,1.04113467123483,0.25,0,4.89431692458606,"BIOPSY (PROJECTILE)"
"41",21,"svm","z0091286",13.620095561119,14,-0.37990443888102,0.37990443888102,0.144327382681503,10,10,13.8068127594364,6.65828784527347,21.1222276359785,14.463939790705,"HIPc210","RWB2009Dec18.05",2009-12-17 22:00:00,"Male",4,11,19,"adult.f.sm",10,0.75,2,12.4449342167109,2.92453749719385,2.03083718198003,8,4.17053783699529,0.125,0.03125,12.4449342167127,"BIOPSY (PROJECTILE)"
"42",21,"svm","z0092243",21.6111100137667,19,2.61111001376673,2.61111001376673,6.81789550399291,10,10,20.5411029226279,14.7531176696985,26.6549256717152,11.9018080020168,"HIPc313","EMO2009OCT05.01",2009-10-04 21:00:00,"Female",4,16,24,"adult.f.sm",12,0.75,1,17.4449342167079,2.92453749719491,2.03083718199599,8,4.17053783698488,0.125,0.03125,17.4449342167143,"BIOPSY (PROJECTILE)"
"43",21,"svm","z0092256",4.22774983521682,5,-0.772250164783182,0.772250164783182,0.596370317007652,0,0,6.55377830789165,1.56776343719286,12.7485148450663,11.1807514078735,"HIPc281","EMO2009OCT16.02",2009-10-15 21:00:00,"Male",5,4,7,"juvenile",NA,1,2,4.42006715552626,1.1510349358226,2.56546661730115,3,0.592684473468061,0.333333333333333,0,4.4208779268841,"BIOPSY (PROJECTILE)"
"44",21,"svm","z0098734",23.478474954537,23,0.47847495453696,0.47847495453696,0.228938282119146,10,10,23.6875686449493,19.3972112030661,29.3425046260522,9.94529342298614,"HIPc204","RWB2010AUG11.01",2010-08-10 21:00:00,"Male",4,18,38,"adult.f.sm",NA,0.75,2,19.529060331838,8.24063244965063,4.01189170119411,20,27.2052948515442,0.05,0.0125,19.5290603318264,"BIOPSY (PROJECTILE)"
"45",21,"svm","z0098735",25.4556163088685,30,-4.54438369113148,4.54438369113148,20.6514231322218,25,25,26.6449708435884,21.8174604284775,31.345667894609,9.52820746613149,"HIPc115","RWB2010AUG11.02",2010-08-10 21:00:00,"Male",4,25,45,"adult.pm",NA,0.75,2,26.5290305481025,8.24080796565581,4.01199633649548,20,27.2063295504648,0.05,0.0125,26.5290305484305,"BIOPSY (PROJECTILE)"
"46",21,"svm","z0098736",1.92895757977265,15,-13.0710424202273,13.0710424202273,170.852149951383,10,0,0.746367863450253,0,7.17178157678776,7.17178157678776,"HIPc203","RWB2010Aug11.03",2010-08-10 21:00:00,"Female",3,12,22,"adult.f.sm",NA,0.55,1,13.1238127511644,3.9601037062713,3.06195244656872,10,6.66091872321085,0.1,0.045,13.1238127511654,"BIOPSY (PROJECTILE)"
"47",21,"svm","z0098737",11.5222718490738,12,-0.477728150926227,0.477728150926227,0.228224186187392,10,10,13.0404076592214,7.18367031707951,18.7343448045329,11.5506744874534,"HIPc310","RWB2010AUG11.04",2010-08-10 21:00:00,"Female",5,10,14,"adult.f.sm",NA,1,1,11.7723020797463,1.04501460942651,0.280862995841487,4,1.04122330733397,0.25,0,11.7769020667349,"BIOPSY (PROJECTILE)"
"48",21,"svm","z0098738",18.101175928719,19,-0.898824071281009,0.898824071281009,0.807884711114168,10,10,17.4344909376713,13.2514046710866,22.5203324809235,9.26892780983696,"HIPc133","RWB2010AUG11.05",2010-08-10 21:00:00,"Male",4,16,24,"adult.f.sm",NA,0.75,2,17.4449342167079,2.92453749719491,2.03083718199599,8,4.17053783698488,0.125,0.03125,17.4449342167143,"BIOPSY (PROJECTILE)"
"49",21,"svm","z0098740",16.7755324629652,17,-0.224467537034794,0.224467537034794,0.0503856751824667,10,10,16.8253996383076,12.2474504010005,22.0762662481323,9.82881584713172,"HIPc106","RWB2010Aug11.07",2010-08-10 21:00:00,"Female",4,14,22,"adult.f.sm",NA,0.75,1,15.4449342167088,2.92453749719768,2.0308371819831,8,4.17053783700364,0.125,0.03125,15.4449342167111,"BIOPSY (PROJECTILE)"
"50",21,"svm","z0098744",17.2739200549691,6,11.2739200549691,11.2739200549691,127.101273405835,0,10,16.2071336679307,11.5821894687853,21.4976112328358,9.91542176405052,"HIPc392","RWB2010AUG14.05",2010-08-13 21:00:00,"Male",2,3,16,"sub.adult",NA,0.2,2,3.83600151184446,5.42695801086871,4.46950506057271,13,11.596069931766,0.0769230769230769,0.0615384615384615,3.83600151185485,"BIOPSY (PROJECTILE)"
